,seqname,source,feature,start,end,strand,ref_gene_id,reference_id,filename,transcript_length,molecularSubtype,Start_UTRref,End_UTRref,UTR_length,ref_UTR_length,UTR_diff,UTR_length (ln),UTR_type,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
232,chr17,aptardi,transcript,81891927,81900319,+,ANAPC11,NM_001289416.1,SRR19969243,8392,HER2+,81900065,81900533,254,468,-214,5.537334267018537,shorter,1775.25110076181,0.896840310313571,0.18265339227672,4.91006654261783,9.10454927462215e-07,7.427064521892e-05
242,chr12,StringTie,transcript,110372900,110403708,-,ANAPC7,NM_016238.3,SRR19969245,30808,HER2+,110372899,110374143,1244,1244,0,7.126087273299125,no change,993.436290966346,0.387995243214628,0.132381001452146,2.93089823281692,0.0033798348273336,0.0401248825671567
243,chr12,aptardi,transcript,110373434,110403708,-,ANAPC7,NM_016238.3,SRR19969245,30274,HER2+,110372899,110374143,710,1244,-534,6.565264970035361,shorter,993.436290966346,0.387995243214628,0.132381001452146,2.93089823281692,0.0033798348273336,0.0401248825671567
246,chr1,StringTie,transcript,178849535,178871077,-,ANGPTL1,NM_001376763.1,SRR19969243,21542,HER2+,178849534,178851128,1594,1594,0,7.374001859350161,no change,202.928108168003,-1.75754326263794,0.595064989324445,-2.95353162119857,0.0031416042102419,0.0383273318677748
295,chr7,StringTie,transcript,150852517,150861504,+,AOC1,NM_001091.4,SRR19969245,8987,HER2+,150861209,150861504,295,295,0,5.68697535633982,no change,38.0654996322988,2.89379910137068,1.01799179209975,2.84265464989832,0.0044739519769669,0.0488208312782047
297,chr17,StringTie,transcript,42851199,42858124,+,AOC3,NM_001277731.2,SRR19969243,6925,HER2+,42856293,42858124,1831,1831,0,7.5126175446745105,no change,2313.05349990971,-1.51972252467774,0.379506725358795,-4.0044679662553,6.21572128105603e-05,0.0021656310781476
319,chr18,StringTie,transcript,10454635,10489949,+,APCDD1,NM_153000.5,SRR19969246,35314,HER2+,10488038,10489949,1911,1911,0,7.555381944240273,no change,959.263345319971,-1.47919186321573,0.443741020181075,-3.33345757084195,0.0008577375279335,0.014973098548026
333,chr19,StringTie,transcript,44914325,44919346,+,APOC1,NM_001321065.2,SRR19969243,5021,HER2+,44919230,44919346,116,116,0,4.7535901911063645,no change,3263.94392637529,2.54812275568576,0.584316774785465,4.36085846863,1.29553148642223e-05,0.0006240094585428
334,chr19,StringTie,transcript,44914608,44919346,+,APOC1,NM_001645.5,SRR19969243,4738,HER2+,44919230,44919346,116,116,0,4.7535901911063645,no change,3263.17290293633,2.54832584362415,0.584458313248344,4.3601498787157,1.29973389505526e-05,0.0006249470165513
335,chr19,StringTie,transcript,44914672,44919346,+,APOC1,NM_001379687.1,SRR19969244,4674,HER2+,44919223,44919346,123,123,0,4.812184355372417,no change,3264.90962060787,2.54872400728617,0.584394614544872,4.36130645945654,1.2928812956931e-05,0.0006232018854006
336,chr19,StringTie,transcript,44946051,44949565,+,APOC2,NM_000483.5,SRR19969243,3514,HER2+,44949249,44949565,316,316,0,5.755742213586912,no change,293.676842672216,2.99736437354533,0.526608311551478,5.69182883710017,1.25685815446175e-08,2.31419571342693e-06
337,chr19,aptardi,transcript,44946051,44949458,+,APOC2,NM_000483.5,SRR19969243,3407,HER2+,44949249,44949565,209,316,-107,5.342334251964811,shorter,293.676842672216,2.99736437354533,0.526608311551478,5.69182883710017,1.25685815446175e-08,2.31419571342693e-06
339,chr19,StringTie,transcript,44905796,44909393,+,APOE,NM_000041.4,SRR19969246,3597,HER2+,44909250,44909393,143,143,0,4.962844630259907,no change,33898.1093891773,1.98428648779866,0.498339428859442,3.98179709026864,6.83961594641925e-05,0.0023183708529422
340,chr19,StringTie,transcript,44906021,44909393,+,APOE,NM_001302689.2,SRR19969246,3372,HER2+,44909250,44909393,143,143,0,4.962844630259907,no change,33898.6035445826,1.98428155788146,0.498311211542658,3.98201266983051,6.83341361247867e-05,0.0023181097274806
352,chr12,StringTie,transcript,12725917,12791466,+,APOLD1,NM_001130415.2,SRR19969244,65549,HER2+,12787652,12791466,3814,3814,0,8.246433786160365,no change,503.66838906347,-1.15933857680054,0.361795446869222,-3.20440344629213,0.001353426772374,0.0209042893264027
361,chr1,StringTie,transcript,228082708,228099212,+,ARF1,NM_001658.4,SRR19969246,16504,HER2+,228098013,228099212,1199,1199,0,7.089243155027514,no change,10368.1891926021,0.614530271368945,0.124451974756177,4.93789088178726,7.89720069017166e-07,6.64288446491404e-05
362,chr1,StringTie,transcript,228082708,228099210,+,ARF1,XM_017001233.1,SRR19969244,16502,HER2+,228097970,228099210,1240,1240,0,7.122866658599083,no change,10368.1891926021,0.614530271368945,0.124451974756177,4.93789088178726,7.89720069017166e-07,6.64288446491404e-05
363,chr1,StringTie,transcript,228083134,228099212,+,ARF1,NM_001024228.2,SRR19969246,16078,HER2+,228098013,228099212,1199,1199,0,7.089243155027514,no change,10373.3476975768,0.613693176452332,0.124300581022057,4.93717061824058,7.92641216930747e-07,6.65870632800367e-05
364,chr1,StringTie,transcript,228083150,228099212,+,ARF1,NM_001024227.1,SRR19969246,16062,HER2+,228098013,228099212,1199,1199,0,7.089243155027514,no change,10373.3476975768,0.613693176452332,0.124300581022057,4.93717061824058,7.92641216930747e-07,6.65870632800367e-05
367,chr17,StringTie,transcript,81867721,81871337,-,ARHGDIA,NM_004309.6,SRR19969243,3616,HER2+,81867720,81868875,1155,1155,0,7.051855622955894,no change,7789.15271579714,0.590401142594225,0.134608441587623,4.38606327828188,1.15420556702781e-05,0.000572080224252
368,chr17,StringTie,transcript,81867719,81870969,-,ARHGDIA,XM_011523574.1,SRR19969245,3250,HER2+,81867718,81868875,1157,1157,0,7.053585727193677,no change,7839.91842096478,0.590732751583193,0.135014290251179,4.37533501442108,1.21246118778603e-05,0.0005924677710973
369,chr17,StringTie,transcript,81867721,81870997,-,ARHGDIA,NM_001185077.3,SRR19969245,3276,HER2+,81867720,81868875,1155,1155,0,7.051855622955894,no change,7840.84833391219,0.590749401562987,0.135027381538187,4.37503412147496,1.21413484878286e-05,0.0005930592451364
433,chr2,StringTie,transcript,218217138,218254348,+,ARPC2,XM_017003113.1,SRR19969246,37210,HER2+,218253915,218254348,433,433,0,6.07073772800249,no change,6448.56715464686,0.771432121011374,0.215401103798202,3.58137496702007,0.0003417907003602,0.007770928113003
434,chr2,aptardi,transcript,218217138,218254190,+,ARPC2,XM_017003113.1,SRR19969246,37052,HER2+,218253915,218254348,275,433,-158,5.616771097666572,shorter,6448.56715464686,0.771432121011374,0.215401103798202,3.58137496702007,0.0003417907003602,0.007770928113003
435,chr2,StringTie,transcript,218217189,218254348,+,ARPC2,NM_152862.3,SRR19969246,37159,HER2+,218253915,218254348,433,433,0,6.07073772800249,no change,6450.71742272186,0.771004385302714,0.215318688582987,3.58075924749819,0.000342597225314,0.0077823549269093
436,chr2,aptardi,transcript,218217189,218254190,+,ARPC2,NM_152862.3,SRR19969246,37001,HER2+,218253915,218254348,275,433,-158,5.616771097666572,shorter,6450.71742272186,0.771004385302714,0.215318688582987,3.58075924749819,0.000342597225314,0.0077823549269093
437,chr2,StringTie,transcript,218217397,218254348,+,ARPC2,NM_005731.3,SRR19969246,36951,HER2+,218253915,218254348,433,433,0,6.07073772800249,no change,6448.53488749256,0.771229831589325,0.215282908999505,3.58240157183634,0.0003404499093833,0.0077473231600976
438,chr2,aptardi,transcript,218217397,218254190,+,ARPC2,NM_005731.3,SRR19969246,36793,HER2+,218253915,218254348,275,433,-158,5.616771097666572,shorter,6448.53488749256,0.771229831589325,0.215282908999505,3.58240157183634,0.0003404499093833,0.0077473231600976
439,chr2,StringTie,transcript,218217156,218254348,+,ARPC2,XM_017003115.2,SRR19969244,37192,HER2+,218253915,218254348,433,433,0,6.07073772800249,no change,6446.71149195166,0.77156804819567,0.21522810270817,3.58488523797401,0.0003372264578401,0.0076972284705718
440,chr2,aptardi,transcript,218217156,218254190,+,ARPC2,XM_017003115.2,SRR19969244,37034,HER2+,218253915,218254348,275,433,-158,5.616771097666572,shorter,6446.71149195166,0.77156804819567,0.21522810270817,3.58488523797401,0.0003372264578401,0.0076972284705718
483,chr19,StringTie,transcript,14119512,14136589,-,ASF1B,NM_018154.3_2,SRR19969244,17077,HER2+,14119511,14120458,947,947,0,6.853299093186078,no change,6.76584860762801,4.0776393472081,1.26621891628632,3.22032730261792,0.001280443146122,0.0201215188689612
500,chr19,StringTie,transcript,49929205,49933935,+,ATF5,NM_001193646.2,SRR19969245,4730,HER2+,49933092,49933935,843,843,0,6.736966958001855,no change,1143.30897371193,0.616443738753563,0.170416722528216,3.61727258691704,0.000297723714562,0.0070190540017764
501,chr19,StringTie,transcript,49930245,49933935,+,ATF5,NM_001290746.2,SRR19969245,3690,HER2+,49933092,49933935,843,843,0,6.736966958001855,no change,936.334989420625,0.58760628782757,0.182141657862082,3.2260949786265,0.0012549170542485,0.0198323677061131
518,chr20,StringTie,transcript,59025475,59032335,-,ATP5F1E,NM_006886.4,SRR19969244,6860,HER2+,59025474,59028841,3367,3367,0,8.121777419161074,no change,3885.05352904517,0.662526253191006,0.181407965277126,3.65213430501194,0.0002600697999262,0.006441419269755
519,chr20,aptardi,transcript,59028642,59032335,-,ATP5F1E,NM_006886.4,SRR19969244,3693,HER2+,59025474,59028841,200,3367,-3167,5.298317366548036,shorter,3885.05352904517,0.662526253191006,0.181407965277126,3.65213430501194,0.0002600697999262,0.006441419269755
537,chr8,StringTie,transcript,86098910,86154225,+,ATP6V0D2,NM_152565.1,SRR19969246,55315,HER2+,86152977,86154225,1248,1248,0,7.129297548929373,no change,53.9131774063269,3.72705433985512,0.924542615822559,4.03124126034924,5.5483053803004e-05,0.0019953015298267
573,chr17,StringTie,transcript,8204734,8210575,-,AURKB,NM_001256834.3,SRR19969243,5841,HER2+,8204733,8204870,137,137,0,4.919980925828125,no change,137.967445092205,2.25892934448529,0.590935929059244,3.82262988828832,0.000132035887478,0.0038305068049559
574,chr17,StringTie,transcript,8204738,8210570,-,AURKB,XM_017025309.1,SRR19969243,5832,HER2+,8204737,8204870,133,133,0,4.890349128221754,no change,137.860930014516,2.25758652654047,0.591061670278367,3.81954479551555,0.0001336981785455,0.0038594910950323
575,chr10,StringTie,transcript,97677424,97687241,-,AVPI1,NM_021732.3,SRR19969245,9817,HER2+,97677423,97677868,445,445,0,6.09807428216624,no change,193.558347235104,-1.23102199983723,0.252083071125624,-4.8833981367347,1.04273028175435e-06,8.30202655795288e-05
597,chr2,StringTie,transcript,231395710,231401164,+,B3GNT7,NM_145236.3,SRR19969244,5454,HER2+,231398925,231401164,2239,2239,0,7.713784616598755,no change,169.21970008667,1.56013507205795,0.254551105874608,6.12896599563971,8.84520263401297e-10,2.53336893159316e-07
602,chr11,StringTie,transcript,66345374,66347629,-,B4GAT1,NM_006876.3,SRR19969243,2255,HER2+,66345373,66346048,675,675,0,6.51471269087253,no change,632.56451030257,-0.788377166970068,0.183630259404269,-4.29328570099347,1.76048231649561e-05,0.000786144084589
603,chr17,StringTie,transcript,19340919,19362723,-,B9D1,NM_001321215.3,SRR19969246,21804,HER2+,19340918,19343709,2791,2791,0,7.934155233536322,no change,215.384230979293,-0.865516754724002,0.233935058095597,-3.69981635830878,0.0002157555347044,0.0056211473516634
604,chr17,aptardi,transcript,19343158,19362723,-,B9D1,NM_001321215.3,SRR19969246,19565,HER2+,19340918,19343709,552,2791,-2239,6.313548046277095,shorter,215.384230979293,-0.865516754724002,0.233935058095597,-3.69981635830878,0.0002157555347044,0.0056211473516634
641,chr11,StringTie,transcript,64987945,64996971,-,BATF2,NM_138456.4,SRR19969244,9026,HER2+,64987944,64989128,1184,1184,0,7.076653815443951,no change,106.207854431298,1.26467466559655,0.383775502909624,3.29535016176988,0.0009829910953014,0.0164766192677485
669,chr18,StringTie,transcript,63123346,63319769,-,BCL2,NM_000633.3,SRR19969243,196423,HER2+,63123345,63128624,5279,5279,0,8.571491964823617,no change,1343.04427007685,-1.58156903266836,0.294733258533543,-5.36610303342597,8.0455992828747e-08,1.0608093653855e-05
670,chr18,StringTie,transcript,63317954,63319769,-,BCL2,NM_000657.3,SRR19969243,1815,HER2+,63317953,63318048,95,95,0,4.553876891600541,no change,260.460671176067,-1.56475527147339,0.284996324478298,-5.49044018142257,4.00933264550984e-08,5.85957558532013e-06
671,chr15,StringTie,transcript,79960892,79971196,-,BCL2A1,NM_004049.4,SRR19969243,10304,HER2+,79960891,79961066,175,175,0,5.1647859739235145,no change,146.430030651742,2.23975326064746,0.665834519772663,3.36382869036616,0.0007686924133095,0.0137897124562235
699,chr16,StringTie,transcript,66427295,66482833,+,BEAN1,NM_001136106.5,SRR19969246,55538,HER2+,66480925,66482833,1908,1908,0,7.553810852008231,no change,71.6713318121365,1.12926222140809,0.251288796764711,4.49388208287474,6.99363643033237e-06,0.0003747874833108
723,chr17,StringTie,transcript,78214253,78225635,+,BIRC5,NM_001168.3,SRR19969243,11382,HER2+,78223554,78225635,2081,2081,0,7.640603826393634,no change,481.208882286038,3.10166072415127,0.610117761036554,5.08370829736498,3.701362469574e-07,3.74009969636686e-05
724,chr17,aptardi,transcript,78214253,78224764,+,BIRC5,NM_001168.3,SRR19969243,10511,HER2+,78223554,78225635,1210,2081,-871,7.098375638590786,shorter,481.208882286038,3.10166072415127,0.610117761036554,5.08370829736498,3.701362469574e-07,3.74009969636686e-05
736,chr15,StringTie,transcript,40087890,40106628,-,BMF,NM_033503.4,SRR19969246,18738,HER2+,40087889,40091786,3897,3897,0,8.26796230533871,no change,852.087656969338,0.757357674132088,0.236073415216121,3.20814469278018,0.0013359426797337,0.0207063544670617
737,chr15,StringTie,transcript,40087890,40108879,-,BMF,NM_001003940.2,SRR19969244,20989,HER2+,40087889,40091786,3897,3897,0,8.26796230533871,no change,859.127758942574,0.766241418231619,0.233199877996559,3.28577109394082,0.0010170362308638,0.0169425315820702
744,chr1,StringTie,transcript,39491636,39529869,+,BMP8A,NM_181809.4,SRR19969244,38233,HER2+,39525798,39529869,4071,4071,0,8.31164394850298,no change,474.970473351127,1.39501461691684,0.427176048982037,3.26566674381948,0.0010920668874313,0.0178972037033134
759,chr16,StringTie,transcript,30192932,30193666,-,BOLA2B,NM_001039182.4,SRR19969246,734,HER2+,30192931,30192974,43,43,0,3.7612001156935615,no change,128.765150053275,4.73644268942668,1.31735562107241,3.59541691982224,0.0003238724771443,0.0075092963701159
760,chr2,StringTie,transcript,74135400,74147912,-,BOLA3,NM_212552.3,SRR19969244,12512,HER2+,74135399,74135592,193,193,0,5.262690188904886,no change,305.761069318114,0.52956816170948,0.0940848878883226,5.62862085075841,1.81656206627102e-08,2.97020657849825e-06
762,chr10,StringTie,transcript,102854259,102864961,+,BORCS7,NM_001136200.2,SRR19969245,10702,HER2+,102862924,102864961,2037,2037,0,7.619233416226805,no change,867.307694652561,-0.696041567683156,0.14760815028503,-4.71546839614957,2.41155325210875e-06,0.0001539847174854
852,chr15,StringTie,transcript,75201882,75212169,+,C15orf39,NM_015492.5,SRR19969243,10287,HER2+,75211116,75212169,1053,1053,0,6.959398512133975,no change,1038.61314959898,1.07975664230974,0.226172866600933,4.77403261733822,1.80573116780421e-06,0.0001240238940393
856,chr15,StringTie,transcript,82994817,83011639,-,C15orf40,NM_144597.3,SRR19969244,16822,HER2+,82994816,83005596,10780,10780,0,9.285447844462988,no change,445.095153717199,-0.486976521371142,0.142142365143498,-3.42597733532519,0.0006125914968895,0.0117021245868063
865,chr16,StringTie,transcript,29742463,29745990,-,C16orf54,NM_175900.4,SRR19969243,3527,HER2+,29742462,29744276,1814,1814,0,7.503289630675082,no change,294.715387319492,1.69370793561202,0.388287642395548,4.36199289053512,1.28883059017353e-05,0.0006221246712963
878,chr17,StringTie,transcript,42038232,42050601,-,C17orf113,NM_001358661.2,SRR19969245,12369,HER2+,42038231,42039704,1473,1473,0,7.29505641646263,no change,73.8303410165286,-1.61264220749922,0.386732018965027,-4.16992162121712,3.04704414013293e-05,0.0012324892603445
922,chr1,StringTie,transcript,22653236,22661637,+,C1QB,NM_001378156.1,SRR19969243,8401,HER2+,22661386,22661637,251,251,0,5.525452939131784,no change,4025.87798702892,1.56147612075972,0.531000046362841,2.94063273902755,0.0032754262920483,0.0393394398655158
923,chr1,StringTie,transcript,22643633,22648108,+,C1QC,NM_172369.5,SRR19969243,4475,HER2+,22647783,22648108,325,325,0,5.783825182329737,no change,6179.23129363205,1.45804301522065,0.450095088628999,3.23941107569487,0.001197768088614,0.0191490331309818
935,chr1,StringTie,transcript,37681570,37690529,-,C1orf109,NM_017850.3,SRR19969245,8959,HER2+,37681569,37683122,1553,1553,0,7.347943823148687,no change,452.817305897443,-0.50572869994779,0.135552284884667,-3.73087550960933,0.0001908155013005,0.0050778103033684
936,chr1,StringTie,transcript,37681570,37691854,-,C1orf109,XM_024447825.1,SRR19969245,10284,HER2+,37681569,37683122,1553,1553,0,7.347943823148687,no change,464.640232800592,-0.500565570318771,0.122240092394861,-4.09493776151477,4.22281812328363e-05,0.0016181697487324
942,chr1,StringTie,transcript,231223765,231241175,-,C1orf131,NM_001300830.2,SRR19969245,17410,HER2+,231223764,231224278,514,514,0,6.2422232654551655,no change,328.804590453727,0.408257239395853,0.10312466788506,3.95887082856729,7.53049487099817e-05,0.002511328826138
947,chr1,StringTie,transcript,184387029,184629019,+,C1orf21,NM_030806.4,SRR19969243,241990,HER2+,184619556,184629019,9463,9463,0,9.155144736508232,no change,1892.40949912361,-1.0265537496348,0.205534367807089,-4.99456008543696,5.89700304707533e-07,5.2625655273015e-05
948,chr1,aptardi,transcript,184387029,184620317,+,C1orf21,NM_030806.4,SRR19969243,233288,HER2+,184619556,184629019,761,9463,-8702,6.634633357861686,shorter,1892.40949912361,-1.0265537496348,0.205534367807089,-4.99456008543696,5.89700304707533e-07,5.2625655273015e-05
949,chr1,aptardi,transcript,184387029,184620417,+,C1orf21,NM_030806.4,SRR19969243,233388,HER2+,184619556,184629019,861,9463,-8602,6.7580945044277305,shorter,1892.40949912361,-1.0265537496348,0.205534367807089,-4.99456008543696,5.89700304707533e-07,5.2625655273015e-05
953,chr1,StringTie,transcript,162381728,162386812,+,C1orf226,NM_001085375.2,SRR19969243,5084,HER2+,162383683,162386812,3129,3129,0,8.048468743668883,no change,268.314918453963,-2.50846933745295,0.388004886405811,-6.46504573870073,1.01268173747368e-10,3.704274060623e-08
954,chr1,StringTie,transcript,154206720,154220590,-,C1orf43,NM_138740.4,SRR19969243,13870,HER2+,154206719,154207452,733,733,0,6.597145701886651,no change,4019.11334724565,0.597330919707171,0.158415184653166,3.77066706714363,0.0001628117631036,0.0044815707591668
978,chr2,StringTie,transcript,85605254,85612066,-,C2orf68,NM_001013649.4,SRR19969246,6812,HER2+,85605253,85608944,3691,3691,0,8.213652703029998,no change,837.611438228425,0.336172080279274,0.0777766287334735,4.32227631556615,1.54427616182202e-05,0.0007097952308571
979,chr2,aptardi,transcript,85608268,85612066,-,C2orf68,NM_001013649.4,SRR19969246,3798,HER2+,85605253,85608944,677,3691,-3014,6.517671272912275,shorter,837.611438228425,0.336172080279274,0.0777766287334735,4.32227631556615,1.54427616182202e-05,0.0007097952308571
980,chr2,StringTie,transcript,85611237,85612046,-,C2orf68,XM_024452879.1,SRR19969245,809,HER2+,85611236,85611322,86,86,0,4.454347296253507,no change,278.258729801537,0.805282410806001,0.262218705637591,3.07103342931976,0.0021331926615393,0.0288480113749059
986,chr2,StringTie,transcript,119302225,119367151,-,C2orf76,NM_001322330.2,SRR19969244,64926,HER2+,119302224,119302471,247,247,0,5.5093883366279774,no change,1689.0383819319,1.01571293258087,0.317353905282441,3.20056856296409,0.00137156733218,0.0211002498521609
988,chr2,StringTie,transcript,190180863,190203484,+,C2orf88,NM_001042519.2,SRR19969243,22621,HER2+,190200148,190203484,3336,3336,0,8.112527763478637,no change,194.260360209447,-1.8003961513947,0.595030667045184,-3.02571993530206,0.0024804193647884,0.0322852958109398
989,chr12,StringTie,transcript,8056844,8066359,-,C3AR1,NM_004054.4,SRR19969243,9515,HER2+,8056843,8058736,1893,1893,0,7.545918151209323,no change,770.048778180089,1.34780316097416,0.390870074868036,3.44821271218882,0.0005643094327687,0.0110014130409088
990,chr12,aptardi,transcript,8058296,8066359,-,C3AR1,NM_004054.4,SRR19969243,8063,HER2+,8056843,8058736,441,1893,-1452,6.089044875446846,shorter,770.048778180089,1.34780316097416,0.390870074868036,3.44821271218882,0.0005643094327687,0.0110014130409088
991,chr12,aptardi,transcript,8058196,8066359,-,C3AR1,NM_004054.4,SRR19969243,8163,HER2+,8056843,8058736,541,1893,-1352,6.293419278846481,shorter,770.048778180089,1.34780316097416,0.390870074868036,3.44821271218882,0.0005643094327687,0.0110014130409088
992,chr12,aptardi,transcript,8058293,8066359,-,C3AR1,NM_001326475.2,SRR19969246,8066,HER2+,8056843,8058736,444,1893,-1449,6.095824562432225,shorter,770.048778180089,1.34780316097416,0.390870074868036,3.44821271218882,0.0005643094327687,0.0110014130409088
1016,chr19,StringTie,transcript,47309861,47322066,+,C5AR1,NM_001736.4,SRR19969244,12205,HER2+,47320830,47322066,1236,1236,0,7.119635638017636,no change,397.577134710075,1.42469614614287,0.486890710155907,2.92611076043465,0.0034322871414288,0.0405333450390706
1017,chr19,StringTie,transcript,47316565,47322024,+,C5AR1,XM_005259190.5,SRR19969244,5459,HER2+,47320830,47322024,1194,1194,0,7.085064293952548,no change,396.189120609445,1.41994761313102,0.487122792372369,2.91496853640463,0.0035572440335086,0.0416060409861114
1063,chr1,StringTie,transcript,174999435,175012027,+,CACYBP,NM_001007214.1,SRR19969243,12592,HER2+,175010079,175012027,1948,1948,0,7.57455848420248,no change,1728.34756457412,0.636449034946067,0.161855899152302,3.93219547930832,8.4173573393928e-05,0.002743484192294
